"","DEP","typequ","nb_2012","nb_2017","2012","2017"
"364","51","D109",6,13,1.05263342567268e-05,2.28070575562413e-05
"365","52","D101",10,10,5.50900446780262e-05,5.50900446780262e-05
"366","52","D102",8,7,4.4072035742421e-05,3.85630312746184e-05
"367","52","D103",3,3,1.65270134034079e-05,1.65270134034079e-05
"368","52","D104",9,10,4.95810402102236e-05,5.50900446780262e-05
"369","52","D106",3,3,1.65270134034079e-05,1.65270134034079e-05
"370","52","D107",3,3,7.23117337545023e-05,7.23117337545023e-05
"371","52","D109",9,9,4.95810402102236e-05,4.95810402102236e-05
"372","53","D101",10,8,3.2520325203252e-05,2.60162601626016e-05
"373","53","D102",8,10,2.60162601626016e-05,3.2520325203252e-05
"374","53","D103",4,4,1.30081300813008e-05,1.30081300813008e-05
"375","53","D104",10,9,3.2520325203252e-05,2.92682926829268e-05
"376","53","D106",4,3,1.30081300813008e-05,9.75609756097561e-06
"377","53","D107",3,3,4.42344157348607e-05,4.42344157348607e-05
"378","53","D109",9,9,2.92682926829268e-05,2.92682926829268e-05
"379","54","D101",22,19,3.00955945521502e-05,2.59916498404933e-05
"380","54","D102",23,26,3.14635761227025e-05,3.55675208343593e-05
"381","54","D103",11,11,1.50477972760751e-05,1.50477972760751e-05
"382","54","D104",26,25,3.55675208343593e-05,3.4199539263807e-05
"383","54","D106",9,9,1.23118341349705e-05,1.23118341349705e-05
"384","54","D107",6,6,3.14277687721304e-05,3.14277687721304e-05
"385","54","D109",17,16,2.32556866993888e-05,2.18877051288365e-05
"386","55","D101",5,4,2.6028923339615e-05,2.0823138671692e-05
"387","55","D102",5,5,2.6028923339615e-05,2.6028923339615e-05
"388","55","D103",4,4,2.0823138671692e-05,2.0823138671692e-05
"389","55","D104",15,15,7.80867700188449e-05,7.80867700188449e-05
"390","55","D106",2,2,1.0411569335846e-05,1.0411569335846e-05
"391","55","D107",2,2,4.35034570288692e-05,4.35034570288692e-05
"392","55","D109",5,3,2.6028923339615e-05,1.5617354003769e-05
"393","56","D101",22,16,2.98192681267265e-05,2.16867404558011e-05
"394","56","D102",20,21,2.71084255697513e-05,2.84638468482389e-05
"395","56","D103",14,11,1.89758978988259e-05,1.49096340633632e-05
"396","56","D104",49,67,6.64156426458908e-05,9.08132256586669e-05
"397","56","D106",6,5,8.1325276709254e-06,6.77710639243783e-06
"398","56","D107",5,5,2.9335094593279e-05,2.9335094593279e-05
"399","56","D109",25,1,3.38855319621892e-05,1.35542127848757e-06
"400","57","D101",34,27,3.24776739871981e-05,2.57910940486573e-05
"401","57","D102",29,30,2.77015454596689e-05,2.86567711651748e-05
"402","57","D103",15,14,1.43283855825874e-05,1.33731598770816e-05
"403","57","D104",37,37,3.53433511037155e-05,3.53433511037155e-05
"404","57","D106",10,9,9.55225705505825e-06,8.59703134955243e-06
"405","57","D107",8,7,2.94856200971293e-05,2.57999175849882e-05
"406","57","D109",26,22,2.48358683431515e-05,2.10149655211282e-05
"407","58","D101",11,6,5.11102541108907e-05,2.78783204241222e-05
"408","58","D102",15,13,6.96958010603055e-05,6.04030275855981e-05
"409","58","D103",7,7,3.25247071614759e-05,3.25247071614759e-05
"410","58","D104",8,8,3.71710938988296e-05,3.71710938988296e-05
"411","58","D106",4,5,1.85855469494148e-05,2.32319336867685e-05
"412","58","D107",2,2,4.25267036453495e-05,4.25267036453495e-05
"413","58","D109",1,0,4.6463867373537e-06,0
"414","59","D101",72,57,2.77399350269077e-05,2.1960781896302e-05
"415","59","D102",66,64,2.54282737746654e-05,2.4657720023918e-05
"416","59","D103",20,19,7.70553750747437e-06,7.32026063210065e-06
"417","59","D104",82,82,3.15927037806449e-05,3.15927037806449e-05
"418","59","D106",23,23,8.86136813359553e-06,8.86136813359553e-06
"419","59","D107",23,23,3.66667237118122e-05,3.66667237118122e-05
"420","59","D109",142,146,5.4709316303068e-05,5.62504238045629e-05
"421","60","D101",24,15,2.94334069168506e-05,1.83958793230316e-05
"422","60","D102",27,23,3.3112582781457e-05,2.82070149619818e-05
"423","60","D103",11,11,1.34903115035565e-05,1.34903115035565e-05
"424","60","D104",23,22,2.82070149619818e-05,2.69806230071131e-05
"425","60","D106",8,7,9.81113563895021e-06,8.58474368408143e-06
"426","60","D107",7,6,3.26796495720253e-05,2.80111282045931e-05
"427","60","D109",54,52,6.62251655629139e-05,6.37723816531764e-05
"428","61","D101",13,10,4.5006370132388e-05,3.46202847172215e-05
"429","61","D102",16,14,5.53924555475544e-05,4.84683986041101e-05
"430","61","D103",2,2,6.9240569434443e-06,6.9240569434443e-06
"431","61","D104",19,16,6.57785409627209e-05,5.53924555475544e-05
"432","61","D106",6,7,2.07721708303329e-05,2.42341993020551e-05
"433","61","D107",4,4,6.56655366567187e-05,6.56655366567187e-05
"434","61","D109",47,40,0.000162715338170941,0.000138481138868886
"435","62","D101",26,23,1.77449571902908e-05,1.56974621298726e-05
"436","62","D102",35,34,2.38874423715453e-05,2.32049440180726e-05
"437","62","D103",15,15,1.02374753020908e-05,1.02374753020908e-05
"438","62","D104",37,42,2.52524390784907e-05,2.86649308458543e-05
"439","62","D106",13,11,8.87247859514539e-06,7.50748188819994e-06
"440","62","D107",12,12,3.46832415000428e-05,3.46832415000428e-05
"441","62","D109",72,66,4.9139881450036e-05,4.50448913291997e-05
"442","63","D101",15,13,2.34009725444189e-05,2.02808428718298e-05
"443","63","D102",28,20,4.36818154162487e-05,3.12012967258919e-05
"444","63","D103",8,8,1.24805186903568e-05,1.24805186903568e-05
"445","63","D104",18,15,2.80811670533027e-05,2.34009725444189e-05
"446","63","D106",7,7,1.09204538540622e-05,1.09204538540622e-05
"447","63","D107",4,4,2.52171542480976e-05,2.52171542480976e-05
"448","63","D109",6,5,9.36038901776758e-06,7.80032418147298e-06
"449","64","D101",21,18,3.16237913311658e-05,2.7106106855285e-05
"450","64","D102",31,28,4.6682739584102e-05,4.21650551082211e-05
"451","64","D103",7,7,1.05412637770553e-05,1.05412637770553e-05
"452","64","D104",13,10,1.9576632728817e-05,1.50589482529361e-05
"453","64","D106",9,9,1.35530534276425e-05,1.35530534276425e-05
"454","64","D107",7,6,4.16807988056113e-05,3.57263989762383e-05
"455","64","D109",29,26,4.36709499335147e-05,3.91532654576339e-05
"456","65","D101",7,6,3.05853155530699e-05,2.62159847597742e-05
"457","65","D102",12,9,5.24319695195484e-05,3.93239771396613e-05
"458","65","D103",5,5,2.18466539664785e-05,2.18466539664785e-05
"459","65","D104",23,15,0.000100494608245801,6.55399618994355e-05
"460","65","D106",5,6,2.18466539664785e-05,2.62159847597742e-05
"461","65","D107",3,2,5.25797607683014e-05,3.50531738455343e-05
"462","65","D109",1,8,4.3693307932957e-06,3.49546463463656e-05
"463","66","D101",11,9,2.37732464529236e-05,1.94508380069375e-05
"464","66","D102",24,24,5.18689013518332e-05,5.18689013518332e-05
"465","66","D103",2,3,4.3224084459861e-06,6.48361266897916e-06
"466","66","D104",26,18,5.61913097978193e-05,3.89016760138749e-05
"467","66","D106",5,7,1.08060211149653e-05,1.51284295609514e-05
"468","66","D107",3,3,2.80870532709005e-05,2.80870532709005e-05
"469","66","D109",13,26,2.80956548989097e-05,5.61913097978193e-05
"470","67","D101",29,27,2.61388423196871e-05,2.4336163539019e-05
"471","67","D102",32,29,2.88428604906892e-05,2.61388423196871e-05
"472","67","D103",12,12,1.08160726840084e-05,1.08160726840084e-05
